,user_id,birth_year,num_contacts,attributes_notifications_missing,country_AT,country_AU,country_BE,country_BG,country_CH,country_CY,country_CZ,country_DE,country_DK,country_EE,country_ES,country_FI,country_FR,country_GB,country_GF,country_GG,country_GI,country_GP,country_GR,country_HR,country_HU,country_IE,country_IM,country_IS,country_IT,country_JE,country_LI,country_LT,country_LU,country_LV,country_MQ,country_MT,country_NL,country_NO,country_PL,country_PT,country_RE,country_RO,country_SE,country_SI,country_SK,plan_METAL_FREE,plan_PREMIUM_FREE,plan_PREMIUM_OFFER,plan_STANDARD,user_settings_crypto_unlocked_1,attributes_notifications_marketing_push_0.0,attributes_notifications_marketing_email_1.0,account_age,brand_Android,reason_BLACK_FRIDAY,reason_ENGAGEMENT_SPLIT_BILL_RESTAURANT,reason_FIFTH_PAYMENT_PROMO,reason_JOINING_ANNIVERSARY,reason_LOST_CARD_ORDER,reason_METAL_GAME_START,reason_METAL_RESERVE_PLAN,reason_NO_INITIAL_CARD_ORDER,reason_NO_INITIAL_CARD_USE,reason_NO_INITIAL_FREE_PROMOPAGE_CARD_ORDER,reason_ONBOARDING_TIPS_ACTIVATED_USERS,reason_PREMIUM_ENGAGEMENT_FEES_SAVED,reason_PREMIUM_ENGAGEMENT_INACTIVE_CARD,reason_PUMPKIN_PAYMENT_NOTIFICATION,reason_REENGAGEMENT_ACTIVE_FUNDS,reason_WELCOME_HOME,status_FAILED,status_SENT,notifications_frequency,average_transaction_amount,engaged
0,user_0,1989,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,11.856134259259258,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0.016511939694726915,36.13885714285714,1
1,user_1,1975,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.789131944444446,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,1,0,5,2,0.01493923267032337,50.04692982456141,1
2,user_2,1987,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,17.441041666666667,1,0,0,6,1,0,2,0,0,0,0,0,0,0,1,2,0,12,0,0.025056743809439983,12.665000000000003,1
3,user_3,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.420497685185186,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0.01659979955838097,64.5690438247012,1
4,user_4,1985,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.662743055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0.008218762335723741,203.98727272727274,1
5,user_5,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3768402777777777,0,0,0,3,0,0,1,0,3,6,0,0,0,0,0,2,0,5,10,0.03042737073473883,38.38119047619046,1
6,user_6,1978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.43224537037037,0,0,0,2,1,1,0,0,0,4,0,0,0,0,0,1,0,7,2,0.019030630676226394,10.0,0
7,user_7,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10.437037037037037,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,4,2,0.012347788026208941,214.714,0
8,user_8,1981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.9490046296296297,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0.006067899372597465,17.130869565217395,1
9,user_9,1965,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.068680555555556,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,3,0,1,8,0.0184318453363378,177.69579710144924,1
